,participant_ID,csv,total_bonus_paid_cents,part1_average,part2_average,part3_average
100,101,bayes_3XWUWJ18UOCNCR8NV7O5OK97N9EUUK_A13WA82HJHFAE0_3A4NIXBJ7AL43DDE3TAKV7RHMTMLMS_results.,250.0,22568.839231999995,17072.74165199989,9138.67440799986
101,102,bayes_32204AGABEYZ2N18B3SP1QJQKUQHG1_AGK2L1CPVZ5YH_320DUZ38GB8YGDTSP50C2NUSM1QGJ0_results.,358.0,11741.987000000086,8008.461171999943,7637.487156666835
102,103,bayes_324N5FAHT0X9MASB6JU8EJ2SXSLKV2_APGX2WZ59OWDN_3K5TEWLKGZXL3ZZHWIEYQNI1GJFIVN_results.,388.0,10112.78903200034,11534.681399999803,8879.267212000037
103,104,bayes_32K26U12EQA184M1E28LA672FVRVDT_A2ZEE0T533JG2X_3X0H8UUIT5ANC22IR4D8GR73FKISW7_results.,484.0,12633.945343999996,10382.852084000073,9551.071164000057
104,105,bayes_3CZH926SJF076XHMQ1II7YPA1SR4EO_A3QO8R7Z93A87K_3A1COHJ8NNHNWSSKI7L3YXXEGZAH8S_results.,250.0,13258.523624000072,4797.656231999954,3473.456844666755
105,106,bayes_3ZUE82NE1DN0VC4KXFS16SQFGBJF8Y_A1OJSFSGE31WQG_38YMOXR4MYLIP44LKRA5FMBBXXK6W2_results.,495.0,9230.442435999961,6205.341552000002,4816.962722000017
106,107,bayes_3Q2T3FD0PQUK0PQV7L1IA12DXB0M3N_A1O8LBLZYOVAYJ_3Z7EFSHGND0MULIC4NJU35HSZ1LXCR_results.,375.0,7268.545172000008,5548.895156000034,5033.928145999969
107,108,bayes_31S7M7DAHJC5TO64MO6US1RMQ6VLTA_A243X2Y9HP7630_3KKG4CDWKMKTYLNZ8S7Y44JLRL749L_results.,375.0,30858.99246133471,6776.399531999786,6836.523701999664
108,109,bayes_3EPG8DX9MNCTZ7ACDKH362USFS15PM_A1DXFMUVK5015A_37XITHEIS0V2XPW0VOD2ENV3T7GCRT_results.,489.0,10177.288315999962,9078.397779999907,8884.444006666572
109,110,bayes_3VCK0Q0PP80U1FCY0ZYZLIT6Z690NN_A2DQYHVS2NHD71_3NJM2BJS40SHLCGLIW9D9SVP079CPS_results.,495.0,7772.634184000011,5680.9102160000075,5009.49137600002
110,111,bayes_3JYPJ2TAZLUL1431JWUCSEL50RNPF3_A2Z6NL0CTXY0ZB_33NF62TLXNO3IZPBFWLR0FMKWQAKJR_results.,500.0,16344.443999999978,6646.2640000000165,3559.9779999999964
111,112,bayes_3XWUWJ18UOCNCR8NV7O5OK97IVUUU3_ACDIDJHRJ5THM_3L2IS5HSFE4D4LL8O8HLZ9CZ71GUN5_results.,482.0,13669.920432000012,11267.514547999921,9586.663174000016
112,113,bayes_38DCH97KIKOM6IQC2Z0M7H3738BQJG_A3HEU0K9QDTEYI_3X87C8JFVAXIS56WFVE2O2PHOONSQW_results.,345.0,27951.98173333413,22308.01394666638,21422.636000000486
113,114,bayes_33KMQD9OGM0JG5KV5R2J40H375577E_A112V6HAH568DI_3634BBTX0SGW72DRW39U81FGBH1FIB_results.,500.0,34123.79806000007,15208.08515199992,11398.406433999804
114,115,bayes_3OCZWXS70RT38MVELSOWPLL8BLQ5LL_A3AA5G6HENO6VJ_3634BBTX0SGW72DRW39U81FGBH8FII_results.,500.0,14593.913123999913,5150.061284000061,3067.443130000043
115,116,bayes_3G5RUKN2FFPCX90B0VHSETUZ19VN9B_A2FV2CDX9IG91V_39GXDJN2OX0SETN4NW27DYONOTK8V2_results.,375.0,12676.144535999978,2572.750972000074,2169.4257100000304
116,117,bayes_3OWZNK3RZOBESFZLCNEZI1EF3IXU23_A122E99M2DQY1G_308Q0PEVBCZN6SMETH92Y5T4V9CI9T_results.,499.0,7696.758660000187,8040.394608000163,7404.119266000055
117,118,bayes_3FHTJGYT9QMRF4ZWUG0UAZLH6MCGPJ_AGHI7ERY5HKX7_3570Y55XZT5OB2ORB51FCA9GZ6EYGT_results.,489.0,12369.718614666683,9768.829207999994,7793.414749999992
118,119,bayes_3KTCJ4SCWJNOQMCGKHNZM8NGZRJM1S_A2QPMJ4GADLUW2_338JKRMM2AL1FGLZF55HUO3AB4QAHA_results.,488.0,11032.662939999924,7680.625908000008,6555.256165999959
119,120,bayes_3LN50BUKQYX71WDX57XANRQP2DGLPW_A2CYRVMRKL3ONZ_3WOKGM4L752F6K94RG3EPROYGC00ON_results.,338.0,10903.089267999983,8357.519027999962,7476.449680000121
120,121,bayes_391FPZIE5F8I7523V8H655KHTGRHUF_A2DQYHVS2NHD71_3FDJT1UU78UVB0AQQUHXZ53GDRQK5L_results.,360.0,18024.453502667347,16657.601680000327,7013.902962000098
121,122,bayes_3L7SUC0TUXGOJXRYOYJZ8346T4EM0Z_A3K6H4FW2TJKTM_373ERPL3YSUJJ6YBHA8S3XV7EZ8RTS_results.,476.0,10000.867643999994,7254.248576000014,6026.492912000003
122,123,bayes_3E9ZFLPWP1EAK47I6VAEPOK0M0FXIL_A3NZC0P3E4R8HP_34Z02EIMIWZVJCECNXPDJ1UK4Q0T0K_results.,375.0,14056.877839999961,8939.597040000004,6310.701439999914
